Skul The Hero Slayer,Rouge-Like,PC,images/skul.jpg
Hollow Knight,Metroidvania,Xbox,images/knight.jpg
The Legend of Zelda: Breath of the Wild,Adventure,Nintendo Switch,images/zelda.jpg
